k,author_count
1,4046
2,1414769
3,460697
4,231046
5,145461
6,100745
7,74438
8,58232
9,46434
10,38096
11,32032
12,26868
13,23102
14,20085
15,17569
16,15587
17,13560
18,12329
19,10948
20,9827
21,8943
22,8215
23,7424
24,6700
25,6155
26,5768
27,5374
28,5000
29,4487
30,4338
31,4079
32,3915
33,3601
34,3367
35,3146
36,3046
37,2849
38,2708
39,2529
40,2507
41,2375
42,2162
43,2114
44,2039
45,1951
46,1863
47,1768
48,1628
49,1579
50,1558
51,1481
52,1426
53,1367
54,1381
55,1296
56,1302
57,1233
58,1113
59,1086
60,1052
61,997
62,996
63,977
64,949
65,890
66,871
67,880
68,810
69,807
70,797
71,803
72,739
73,729
74,693
75,678
76,652
77,659
78,611
79,606
80,579
81,577
82,586
83,564
84,519
85,527
86,517
87,478
88,476
89,481
90,444
91,430
92,428
93,452
94,436
95,408
96,379
97,372
98,373
99,393
100,332
101,333
102,340
103,317
104,339
105,335
106,343
107,305
108,310
109,313
110,297
111,305
112,289
113,263
114,262
115,267
116,268
117,264
118,266
119,254
120,243
121,223
122,246
123,219
124,203
125,228
126,238
127,207
128,202
129,214
130,185
131,209
132,172
133,195
134,192
135,172
136,188
137,174
138,170
139,167
140,167
141,145
142,142
143,161
144,148
145,155
146,145
147,150
148,151
149,151
150,151
151,129
152,144
153,138
154,123
155,116
156,139
157,112
158,136
159,118
160,111
161,107
162,109
163,118
164,98
165,115
166,92
167,107
168,91
169,109
170,91
171,107
172,90
173,86
174,83
175,81
176,70
177,96
178,84
179,86
180,75
181,89
182,73
183,72
184,86
185,86
186,66
187,73
188,96
189,82
190,83
191,81
192,82
193,62
194,73
195,61
196,73
197,63
198,53
199,55
200,63
201,53
202,57
203,66
204,45
205,58
206,64
207,45
208,54
209,65
210,49
211,45
212,56
213,44
214,50
215,53
216,55
217,48
218,47
219,34
220,41
221,44
222,43
223,41
224,56
225,45
226,61
227,41
228,50
229,40
230,37
231,40
232,41
233,42
234,42
235,39
236,40
237,39
238,34
239,29
240,35
241,41
242,42
243,27
244,40
245,30
246,34
247,35
248,38
249,48
250,40
251,37
252,38
253,51
254,24
255,21
256,31
257,36
258,23
259,23
260,27
261,29
262,30
263,29
264,27
265,29
266,33
267,22
268,28
269,27
270,29
271,19
272,39
273,23
274,31
275,16
276,23
277,16
278,16
279,22
280,26
281,22
282,22
283,18
284,17
285,24
286,17
287,16
288,13
289,22
290,23
291,12
292,13
293,22
294,12
295,11
296,15
297,16
298,15
299,19
300,15
301,14
302,20
303,13
304,18
305,14
306,23
307,12
308,12
309,24
310,17
311,7
312,7
313,14
314,15
315,15
316,19
317,22
318,9
319,16
320,10
321,9
322,12
323,10
324,10
325,11
326,13
327,14
328,12
329,10
330,14
331,9
332,9
333,10
334,12
335,14
336,9
337,19
338,10
339,7
340,7
341,13
342,9
343,12
344,17
345,12
346,16
347,12
348,13
349,8
350,11
351,10
352,11
353,5
354,9
355,7
356,9
357,11
358,10
359,7
360,18
361,12
362,11
363,8
364,11
365,6
366,7
367,13
368,8
369,6
370,5
371,5
372,10
373,7
374,7
375,12
376,7
377,5
378,10
379,7
380,9
381,6
382,6
383,7
384,5
385,2
386,4
387,7
388,8
389,5
390,4
391,7
392,7
393,9
394,6
395,6
396,9
397,2
398,7
399,3
400,5
401,6
402,7
403,6
404,2
405,5
406,3
407,9
408,6
409,5
410,6
411,12
412,5
413,3
414,4
415,8
416,7
417,13
418,6
419,8
420,9
421,4
422,7
423,6
424,4
425,2
426,5
427,4
428,2
429,3
430,2
431,6
432,3
433,1
434,3
435,4
436,2
437,6
438,6
439,4
440,2
441,3
442,6
443,2
444,4
445,4
446,4
447,11
448,4
449,5
450,3
451,3
452,3
453,4
454,10
455,4
456,7
457,2
458,3
459,7
460,7
461,2
462,3
463,9
464,1
465,1
466,3
467,5
468,4
469,4
470,5
471,7
472,8
473,5
474,3
475,3
476,2
477,1
478,3
479,2
480,2
481,6
482,2
483,1
484,4
485,1
486,5
487,4
488,4
489,2
490,6
491,2
492,2
493,6
494,17
495,3
496,3
497,2
498,4
500,2
501,3
502,1
504,3
505,3
506,6
507,5
508,2
509,1
510,1
511,5
512,2
513,2
514,3
515,6
516,1
517,1
518,5
519,1
520,1
521,2
522,5
523,2
524,2
525,1
526,3
527,5
528,3
529,3
531,1
532,2
533,2
534,2
535,2
536,3
538,1
539,3
540,2
541,5
543,2
544,2
545,2
546,4
547,3
548,2
550,3
551,3
552,3
553,3
554,4
555,2
556,1
557,2
558,2
559,3
561,1
564,2
565,2
566,1
567,1
568,1
569,3
570,1
571,3
572,3
574,2
578,2
580,3
581,1
583,1
585,3
587,3
588,3
589,1
590,1
591,1
592,2
593,1
594,2
595,1
597,1
598,2
599,2
600,1
603,2
604,1
605,2
607,2
609,3
610,2
611,1
612,1
613,1
614,2
617,1
619,1
621,1
622,1
623,2
624,3
626,1
627,2
628,2
629,2
630,3
631,2
632,2
634,2
635,1
636,1
637,2
638,1
640,1
643,1
644,1
646,2
649,1
651,1
652,1
653,4
654,1
655,1
656,1
657,1
660,3
661,1
662,1
663,1
665,2
667,2
669,1
670,2
674,2
675,2
678,1
679,2
681,3
682,1
687,1
689,1
692,1
693,3
696,1
697,2
698,1
700,1
701,3
706,1
707,1
708,2
709,1
711,1
713,1
719,1
720,1
721,2
723,1
724,1
726,3
727,1
728,2
729,2
730,2
731,1
733,1
736,1
738,1
739,1
740,1
741,4
742,1
744,1
747,1
749,1
752,1
753,1
757,1
758,1
767,1
772,2
774,3
777,1
779,2
781,1
788,2
789,1
790,2
791,1
795,1
799,1
800,2
802,3
803,1
807,3
808,1
812,1
816,1
817,1
820,1
821,1
822,1
824,2
832,1
833,3
838,1
844,2
846,1
856,3
857,1
861,1
863,1
868,1
871,1
877,1
882,1
885,1
887,1
890,1
894,1
909,1
928,1
931,1
940,1
942,1
952,1
958,1
960,1
963,1
991,1
999,1
1012,1
1014,1
1018,1
1023,1
1032,1
1033,1
1036,1
1038,1
1043,1
1055,1
1062,2
1067,1
1082,1
1083,1
1085,1
1088,1
1100,1
1113,1
1117,1
1120,2
1140,1
1142,1
1143,1
1151,1
1163,1
1199,1
1229,1
1250,1
1263,1
1274,1
1279,1
1317,1
1323,1
1337,3
1387,1
1482,1
1486,1
1505,1
1561,1
1593,1
1631,1
1766,1
2317,1
